Month,Shein,Thrift,Search_Type
2020-01,0,30,Youtube
2020-02,0,32,Youtube
2020-03,0,25,Youtube
2020-04,0,21,Youtube
2020-05,0,14,Youtube
2020-06,0,16,Youtube
2020-07,0,22,Youtube
2020-08,0,18,Youtube
2020-09,0,22,Youtube
2020-10,0,24,Youtube
2020-11,0,26,Youtube
2020-12,0,25,Youtube
2021-01,0,24,Youtube
2021-02,0,25,Youtube
2021-03,1,23,Youtube
2021-04,1,23,Youtube
2021-05,3,23,Youtube
2021-06,6,20,Youtube
2021-07,11,19,Youtube
2021-08,5,23,Youtube
2021-09,8,29,Youtube
2021-10,17,38,Youtube
2021-11,16,33,Youtube
2021-12,16,31,Youtube
2022-01,21,34,Youtube
2022-02,32,35,Youtube
2022-03,38,31,Youtube
2022-04,37,34,Youtube
2022-05,47,42,Youtube
2022-06,58,40,Youtube
2022-07,69,40,Youtube
2022-08,59,39,Youtube
2022-09,75,45,Youtube
2022-10,67,47,Youtube
2022-11,75,49,Youtube
2022-12,54,46,Youtube
2023-01,49,61,Youtube
2023-02,47,61,Youtube
2023-03,46,55,Youtube
2023-04,49,55,Youtube
2023-05,46,49,Youtube
2023-06,51,47,Youtube
2023-07,51,44,Youtube
2023-08,47,49,Youtube
2023-09,48,61,Youtube
2023-10,55,69,Youtube
2023-11,61,62,Youtube
2023-12,41,64,Youtube
2024-01,41,87,Youtube
2024-02,44,92,Youtube
2024-03,46,80,Youtube
2024-04,51,84,Youtube
2024-05,49,81,Youtube
2024-06,47,74,Youtube
2024-07,45,71,Youtube
2024-08,31,69,Youtube
2024-09,31,77,Youtube
2024-10,34,80,Youtube
2024-11,36,80,Youtube
2024-12,32,86,Youtube
2025-01,33,97,Youtube
2025-02,36,100,Youtube
2025-03,36,95,Youtube
2025-04,35,95,Youtube
