Month,Shein,Thrift,Search_Type
2012-03,0,0,Youtube
2012-04,0,0,Youtube
2012-05,0,2,Youtube
2012-06,0,2,Youtube
2012-07,0,0,Youtube
2012-08,0,3,Youtube
2012-09,0,3,Youtube
2012-10,0,3,Youtube
2012-11,0,2,Youtube
2012-12,0,2,Youtube
2013-01,0,2,Youtube
2013-02,0,5,Youtube
2013-03,0,5,Youtube
2013-04,0,6,Youtube
2013-05,0,5,Youtube
2013-06,0,5,Youtube
2013-07,0,5,Youtube
2013-08,0,3,Youtube
2013-09,0,3,Youtube
2013-10,0,4,Youtube
2013-11,0,4,Youtube
2013-12,0,3,Youtube
2014-01,0,2,Youtube
2014-02,0,3,Youtube
2014-03,0,4,Youtube
2014-04,0,4,Youtube
2014-05,0,4,Youtube
2014-06,0,6,Youtube
2014-07,0,4,Youtube
2014-08,0,5,Youtube
2014-09,0,5,Youtube
2014-10,0,4,Youtube
2014-11,0,4,Youtube
2014-12,0,3,Youtube
2015-01,0,4,Youtube
2015-02,0,4,Youtube
2015-03,0,5,Youtube
2015-04,0,4,Youtube
2015-05,0,3,Youtube
2015-06,0,4,Youtube
2015-07,0,4,Youtube
2015-08,0,4,Youtube
2015-09,0,4,Youtube
2015-10,0,5,Youtube
2015-11,0,3,Youtube
2015-12,0,2,Youtube
2016-01,0,3,Youtube
2016-02,1,4,Youtube
2016-03,0,5,Youtube
2016-04,0,5,Youtube
2016-05,0,4,Youtube
2016-06,0,3,Youtube
2016-07,0,4,Youtube
2016-08,0,4,Youtube
2016-09,0,6,Youtube
2016-10,1,5,Youtube
2016-11,1,3,Youtube
2016-12,1,3,Youtube
2017-01,1,4,Youtube
2017-02,1,5,Youtube
2017-03,1,5,Youtube
2017-04,1,4,Youtube
2017-05,1,4,Youtube
2017-06,1,4,Youtube
2017-07,1,5,Youtube
2017-08,2,5,Youtube
2017-09,2,5,Youtube
2017-10,2,5,Youtube
2017-11,2,4,Youtube
2017-12,1,4,Youtube
2018-01,2,5,Youtube
2018-02,2,4,Youtube
2018-03,3,5,Youtube
2018-04,3,5,Youtube
2018-05,4,5,Youtube
2018-06,4,6,Youtube
2018-07,4,5,Youtube
2018-08,3,5,Youtube
2018-09,3,6,Youtube
2018-10,4,6,Youtube
2018-11,4,4,Youtube
2018-12,4,4,Youtube
2019-01,5,5,Youtube
2019-02,4,4,Youtube
2019-03,8,5,Youtube
2019-04,7,5,Youtube
2019-05,8,5,Youtube
2019-06,9,5,Youtube
2019-07,10,5,Youtube
2019-08,11,6,Youtube
2019-09,11,5,Youtube
2019-10,12,6,Youtube
2019-11,15,5,Youtube
2019-12,11,4,Youtube
2020-01,14,5,Youtube
2020-02,17,6,Youtube
2020-03,18,4,Youtube
2020-04,22,3,Youtube
2020-05,25,4,Youtube
2020-06,36,5,Youtube
2020-07,38,5,Youtube
2020-08,35,5,Youtube
2020-09,37,5,Youtube
2020-10,41,7,Youtube
2020-11,38,5,Youtube
2020-12,35,4,Youtube
2021-01,42,6,Youtube
2021-02,46,6,Youtube
2021-03,47,7,Youtube
2021-04,56,5,Youtube
2021-05,65,4,Youtube
2021-06,69,5,Youtube
2021-07,74,7,Youtube
2021-08,71,6,Youtube
2021-09,67,7,Youtube
2021-10,65,5,Youtube
2021-11,71,5,Youtube
2021-12,61,5,Youtube
2022-01,75,7,Youtube
2022-02,79,6,Youtube
2022-03,87,6,Youtube
2022-04,83,6,Youtube
2022-05,84,6,Youtube
2022-06,83,6,Youtube
2022-07,88,5,Youtube
2022-08,76,6,Youtube
2022-09,75,6,Youtube
2022-10,74,5,Youtube
2022-11,70,5,Youtube
2022-12,61,5,Youtube
2023-01,78,7,Youtube
2023-02,79,7,Youtube
2023-03,94,6,Youtube
2023-04,100,7,Youtube
2023-05,88,7,Youtube
2023-06,78,6,Youtube
2023-07,76,5,Youtube
2023-08,75,6,Youtube
2023-09,70,5,Youtube
2023-10,77,6,Youtube
2023-11,81,5,Youtube
2023-12,47,6,Youtube
2024-01,41,7,Youtube
2024-02,49,7,Youtube
2024-03,56,7,Youtube
2024-04,64,6,Youtube
2024-05,64,6,Youtube
2024-06,60,7,Youtube
2024-07,64,8,Youtube
2024-08,82,0,Youtube
2024-09,85,0,Youtube
2024-10,60,0,Youtube
2024-11,26,0,Youtube
2024-12,19,0,Youtube
2025-01,15,0,Youtube
2025-02,23,0,Youtube
2025-03,0,0,Youtube
2025-04,7,0,Youtube
