Month,Boohoo,Charity Shop,Search_Type
2018-08,13,0,News
2018-09,7,0,News
2018-10,10,0,News
2018-11,0,0,News
2018-12,15,0,News
2019-01,10,0,News
2019-02,9,0,News
2019-03,0,0,News
2019-04,16,0,News
2019-05,0,0,News
2019-06,9,0,News
2019-07,15,0,News
2019-08,13,0,News
2019-09,14,0,News
2019-10,11,0,News
2019-11,12,0,News
2019-12,0,0,News
2020-01,10,0,News
2020-02,0,0,News
2020-03,9,0,News
2020-04,14,0,News
2020-05,17,0,News
2020-06,14,0,News
2020-07,100,0,News
2020-08,31,0,News
2020-09,35,0,News
2020-10,34,0,News
2020-11,28,0,News
2020-12,26,0,News
2021-01,34,0,News
2021-02,30,0,News
2021-03,20,0,News
2021-04,21,0,News
2021-05,14,0,News
2021-06,13,0,News
2021-07,16,0,News
2021-08,11,0,News
2021-09,15,0,News
2021-10,21,0,News
2021-11,21,0,News
2021-12,22,0,News
2022-01,22,0,News
2022-02,26,0,News
2022-03,13,0,News
2022-04,16,0,News
2022-05,16,0,News
2022-06,15,0,News
2022-07,13,0,News
2022-08,15,0,News
2022-09,14,0,News
2022-10,9,6,News
2022-11,19,0,News
2022-12,13,0,News
2023-01,8,0,News
2023-02,17,0,News
2023-03,8,0,News
2023-04,9,0,News
2023-05,8,0,News
2023-06,13,0,News
2023-07,12,0,News
2023-08,9,0,News
2023-09,9,0,News
2023-10,12,0,News
2023-11,20,9,News
2023-12,11,0,News
2024-01,12,0,News
2024-02,11,0,News
2024-03,14,0,News
2024-04,6,0,News
2024-05,8,0,News
2024-06,5,0,News
2024-07,8,0,News
2024-08,6,0,News
2024-09,7,0,News
2024-10,11,0,News
2024-11,16,0,News
2024-12,16,0,News
2025-01,12,0,News
2025-02,9,0,News
2025-03,8,0,News
2025-04,5,1,News
2008-01,0,0,Shopping
2008-02,0,0,Shopping
2008-03,0,0,Shopping
2008-04,0,0,Shopping
2008-05,0,0,Shopping
2008-06,0,0,Shopping
2008-07,0,0,Shopping
2008-08,0,0,Shopping
2008-09,0,0,Shopping
2008-10,0,0,Shopping
2008-11,0,0,Shopping
2008-12,0,0,Shopping
2009-01,0,0,Shopping
2009-02,0,0,Shopping
2009-03,0,0,Shopping
2009-04,0,0,Shopping
2009-05,0,0,Shopping
2009-06,0,0,Shopping
2009-07,0,0,Shopping
2009-08,0,0,Shopping
2009-09,0,0,Shopping
2009-10,0,0,Shopping
2009-11,0,0,Shopping
2009-12,0,0,Shopping
2010-01,0,0,Shopping
2010-02,0,0,Shopping
2010-03,0,0,Shopping
2010-04,0,0,Shopping
2010-05,0,0,Shopping
2010-06,0,0,Shopping
2010-07,0,0,Shopping
2010-08,0,0,Shopping
2010-09,0,0,Shopping
2010-10,0,0,Shopping
2010-11,0,0,Shopping
2010-12,0,0,Shopping
2011-01,6,0,Shopping
2011-02,0,0,Shopping
2011-03,0,0,Shopping
2011-04,9,0,Shopping
2011-05,9,0,Shopping
2011-06,9,0,Shopping
2011-07,0,0,Shopping
2011-08,8,0,Shopping
2011-09,7,0,Shopping
2011-10,11,0,Shopping
2011-11,8,0,Shopping
2011-12,9,0,Shopping
2012-01,13,0,Shopping
2012-02,14,0,Shopping
2012-03,11,0,Shopping
2012-04,13,0,Shopping
2012-05,12,0,Shopping
2012-06,12,0,Shopping
2012-07,11,0,Shopping
2012-08,12,0,Shopping
2012-09,15,0,Shopping
2012-10,10,0,Shopping
2012-11,10,0,Shopping
2012-12,10,0,Shopping
2013-01,12,0,Shopping
2013-02,19,0,Shopping
2013-03,21,0,Shopping
2013-04,14,0,Shopping
