Month,Shein,Flohmarkt,Search_Type
2018-12,13,3,Shopping
2019-01,20,4,Shopping
2019-02,24,3,Shopping
2019-03,24,4,Shopping
2019-04,24,5,Shopping
2019-05,26,6,Shopping
2019-06,29,5,Shopping
2019-07,29,6,Shopping
2019-08,24,7,Shopping
2019-09,25,5,Shopping
2019-10,25,5,Shopping
2019-11,28,4,Shopping
2019-12,19,2,Shopping
2020-01,30,2,Shopping
2020-02,27,0,Shopping
2020-03,41,0,Shopping
2020-04,50,0,Shopping
2020-05,42,1,Shopping
2020-06,48,2,Shopping
2020-07,42,3,Shopping
2020-08,43,3,Shopping
2020-09,42,4,Shopping
2020-10,39,3,Shopping
2020-11,43,0,Shopping
2020-12,39,0,Shopping
2021-01,60,0,Shopping
2021-02,72,0,Shopping
2021-03,62,0,Shopping
2021-04,87,0,Shopping
2021-05,88,2,Shopping
2021-06,100,0,Shopping
2021-07,77,5,Shopping
2021-08,69,5,Shopping
2021-09,75,5,Shopping
2021-10,64,6,Shopping
2021-11,51,3,Shopping
2021-12,40,0,Shopping
2022-01,52,2,Shopping
2022-02,65,2,Shopping
2022-03,69,5,Shopping
2022-04,62,6,Shopping
2022-05,66,7,Shopping
2022-06,71,6,Shopping
2022-07,60,6,Shopping
2022-08,53,5,Shopping
2022-09,53,6,Shopping
2022-10,52,4,Shopping
2022-11,50,3,Shopping
2022-12,45,0,Shopping
2023-01,60,4,Shopping
2023-02,59,3,Shopping
2023-03,67,5,Shopping
2023-04,68,8,Shopping
2023-05,83,7,Shopping
2023-06,80,4,Shopping
2023-07,76,4,Shopping
2023-08,61,5,Shopping
2023-09,59,5,Shopping
2023-10,48,0,Shopping
2023-11,54,0,Shopping
2023-12,32,0,Shopping
2024-01,40,1,Shopping
2024-02,36,0,Shopping
2024-03,28,5,Shopping
2024-04,22,0,Shopping
2024-05,36,0,Shopping
2024-06,30,8,Shopping
2024-07,27,0,Shopping
2024-08,27,0,Shopping
2024-09,27,0,Shopping
2024-10,20,0,Shopping
2024-11,23,0,Shopping
2024-12,15,8,Shopping
2025-01,23,0,Shopping
2025-02,28,0,Shopping
2025-03,34,0,Shopping
2025-04,19,3,Shopping
2008-01,0,0,Youtube
2008-02,0,0,Youtube
2008-03,0,0,Youtube
2008-04,0,0,Youtube
2008-05,0,0,Youtube
2008-06,0,0,Youtube
2008-07,0,6,Youtube
2008-08,0,0,Youtube
2008-09,0,0,Youtube
2008-10,0,0,Youtube
2008-11,0,0,Youtube
2008-12,0,0,Youtube
2009-01,0,0,Youtube
2009-02,0,0,Youtube
2009-03,0,0,Youtube
2009-04,0,0,Youtube
2009-05,0,4,Youtube
2009-06,0,0,Youtube
2009-07,0,0,Youtube
2009-08,0,0,Youtube
2009-09,0,0,Youtube
2009-10,0,4,Youtube
2009-11,0,0,Youtube
2009-12,0,0,Youtube
2010-01,0,0,Youtube
2010-02,0,0,Youtube
2010-03,0,0,Youtube
2010-04,0,4,Youtube
2010-05,0,4,Youtube
2010-06,0,4,Youtube
2010-07,0,0,Youtube
2010-08,0,0,Youtube
2010-09,0,4,Youtube
2010-10,0,4,Youtube
2010-11,0,4,Youtube
2010-12,0,0,Youtube
2011-01,0,0,Youtube
2011-02,0,4,Youtube
2011-03,0,5,Youtube
2011-04,0,4,Youtube
2011-05,0,5,Youtube
2011-06,0,0,Youtube
2011-07,0,6,Youtube
2011-08,0,5,Youtube
2011-09,0,5,Youtube
2011-10,0,4,Youtube
2011-11,0,7,Youtube
2011-12,0,3,Youtube
2012-01,0,0,Youtube
2012-02,0,3,Youtube
2012-03,0,5,Youtube
2012-04,0,7,Youtube
2012-05,0,5,Youtube
2012-06,0,8,Youtube
2012-07,0,7,Youtube
2012-08,0,6,Youtube
